question_id,category,question,top1_accuracy,recall_at_3,recall_at_5,mrr,retrieved_ids
Q017,rubric_interpretation,What does HD require in executive summary and introduction?,0,1,1,0.5,assessment_brief__report_rubric_individual_contribution__01 || assessment_brief__report_rubric_executive_summary_and_introduction__01 || assessment_brief__report_rubric_conclusion_future_work_and_references__01 || assessment_brief__presentation_rubric_presentation_delivery_and_interaction__01 || assessment_brief__presentation_rubric_findings_contributions_and_limitations__01
Q018,rubric_interpretation,What does HD require in theoretical justification?,0,1,1,0.3333333333333333,assessment_brief__presentation_rubric_ai_method_explanation_and_justification__01 || assessment_brief__report_rubric_individual_contribution__01 || assessment_brief__report_rubric_theoretical_justification__01 || assessment_brief__report_rubric_critical_reflection__01 || assessment_brief__presentation_rubric_findings_contributions_and_limitations__01
Q019,rubric_interpretation,What does HD require in workflow and methodology?,1,1,1,1.0,assessment_brief__report_rubric_workflow_and_methodology__01 || assessment_brief__report_rubric_individual_contribution__01 || assessment_brief__report_rubric_critical_reflection__01 || assessment_brief__presentation_rubric_findings_contributions_and_limitations__01 || assessment_brief__report_rubric_conclusion_future_work_and_references__01
Q020,rubric_interpretation,What does HD require in empirical analysis and results?,1,1,1,1.0,assessment_brief__report_rubric_empirical_analysis_and_results__01 || assessment_brief__presentation_rubric_findings_contributions_and_limitations__01 || assessment_brief__report_rubric_critical_reflection__01 || assessment_brief__report_rubric_individual_contribution__01 || assessment_brief__report_rubric_conclusion_future_work_and_references__01
Q021,rubric_interpretation,What does HD require in critical reflection?,1,1,1,1.0,assessment_brief__report_rubric_critical_reflection__01 || assessment_brief__report_rubric_conclusion_future_work_and_references__01 || assessment_brief__report_rubric_individual_contribution__01 || assessment_brief__presentation_rubric_ai_method_explanation_and_justification__01 || assessment_brief__presentation_rubric_presentation_delivery_and_interaction__01
Q022,rubric_interpretation,"What does HD require in conclusion, future work, and references?",1,1,1,1.0,assessment_brief__report_rubric_conclusion_future_work_and_references__01 || assessment_brief__report_rubric_critical_reflection__01 || assessment_brief__report_rubric_individual_contribution__01 || project_design__the_system_can_answer_questions_such_as__01 || assessment_brief__report_rubric_theoretical_justification__01
Q023,rubric_interpretation,"For the presentation, what does HD require in content and relevance?",0,0,0,0.0,assessment_brief__presentation_rubric_presentation_delivery_and_interaction__01 || assessment_brief__report_rubric_individual_contribution__01 || assessment_brief__report_rubric_conclusion_future_work_and_references__01 || assessment_brief__presentation_rubric_findings_contributions_and_limitations__01 || assessment_brief__report_rubric_critical_reflection__01
Q024,rubric_interpretation,"For the presentation, what does HD require in AI method explanation and justification?",1,1,1,1.0,assessment_brief__presentation_rubric_ai_method_explanation_and_justification__01 || assessment_brief__report_rubric_theoretical_justification__01 || project_design__the_system_can_answer_questions_such_as__01 || assessment_brief__report_rubric_executive_summary_and_introduction__01 || assessment_brief__report_rubric_conclusion_future_work_and_references__01
Q025,rubric_interpretation,"For the presentation, what does HD require in findings, contributions, and limitations?",0,1,1,0.5,assessment_brief__report_rubric_critical_reflection__01 || assessment_brief__presentation_rubric_findings_contributions_and_limitations__01 || assessment_brief__report_rubric_individual_contribution__01 || assessment_brief__presentation_rubric_presentation_delivery_and_interaction__01 || assessment_brief__report_rubric_conclusion_future_work_and_references__01
Q026,rubric_interpretation,"For the presentation, what does HD require in delivery and interaction?",1,1,1,1.0,assessment_brief__presentation_rubric_presentation_delivery_and_interaction__01 || assessment_brief__report_rubric_individual_contribution__01 || assessment_brief__presentation_rubric_findings_contributions_and_limitations__01 || assessment_brief__report_rubric_critical_reflection__01 || assessment_brief__report_rubric_conclusion_future_work_and_references__01
Q027,planning_and_story,"Based on the brief, what workstreams should the group cover before submission?",0,1,1,0.3333333333333333,assessment_brief__submission_due__01 || assessment_brief__requirements__01 || assessment_brief__task_overview__01 || assessment_brief__presentation_sessions__01 || assessment_brief__submission_format__01
Q028,planning_and_story,"If we want a strong presentation story, what key beats should we cover?",0,1,1,0.3333333333333333,assessment_brief__part_2_presentation__01 || assessment_brief__presentation_rubric_presentation_delivery_and_interaction__01 || assessment_brief__presentation__01 || assessment_brief__presentation_session__01 || assessment_brief__presentation_sessions__01
