question_id,question,category,ground_truth,expected_route,answerable,expected_evidence_ids,required_keywords,minimum_keyword_hits,require_route_match
Q001,"When is the report due?",factual_constraints,"The report is due on 16 May 2026 at 23:59.",rule-based,yes,report_due_date,"16 may 2026||23:59",2,yes
Q002,"What is the report word limit and font requirement?",factual_constraints,"The report can be up to 3500 words including references and should use 11-point Times or Arial fonts.",rule-based,yes,report_word_limit||report_font,"3500||references||11-point||times||arial",4,yes
Q003,"What is the maximum allowed similarity score?",factual_constraints,"The maximum allowed similarity score is 20 percent.",rule-based,yes,similarity_limit,"20%",1,yes
Q004,"What report file should we submit, and what filename should it use?",submission_rules,"The report should be submitted as a PDF using the filename AT3_Report_Group_xxxx.pdf.",rule-based,yes,report_format||report_filename,"pdf||at3_report_group_xxxx.pdf",2,yes
Q005,"What must be included on the first page of the report?",submission_rules,"The first page of the report must include all group members' names and student IDs.",rule-based,yes,first_page_requirements,"names||student ids",2,yes
Q006,"What must be included on the first presentation slide?",submission_rules,"The first presentation slide must include the group number, all group members' names, and student IDs.",rule-based,yes,first_slide_requirements,"group number||names||student ids",3,yes
Q007,"Who needs to submit the group files?",submission_rules,"Only one member from the group needs to submit the report and presentation files.",rule-based,yes,group_submission,"one member||submit",2,yes
Q008,"What sections should be included in the report?",submission_rules,"The brief explicitly names Introduction, Theoretical Justifications, Workflow and Empirical Analysis, and Critical Reflection as report sections.",rule-based,yes,report_sections,"introduction||theoretical justifications||workflow and empirical analysis||critical reflection",4,yes
Q009,"Can the group request an extension for the presentation?",brief_interpretation,"No. The brief says an extension can only be requested for the report component, and it requires unanimous agreement plus a Canvas request and email to the subject coordinators.",rag,yes,assessment_brief__extensions__01,"only the report component||all group members||assignment extension tool||subject coordinators",3,yes
Q010,"What does HD require in executive summary and introduction?",rubric_interpretation,"HD requires a concise executive summary, clear problem definition, strong real-world significance, clear scope and impact, strong linkage to the AI solution, and awareness of ethical implications.",rag,yes,assessment_brief__report_rubric_executive_summary_and_introduction__01,"executive summary||real-world problem||significance||impact||ethical",4,yes
Q011,"What does HD require in theoretical justification?",rubric_interpretation,"HD requires rigorous and well-structured explanation of the AI methods, strong theoretical foundations, clear justification of suitability, relevant academic literature, and critical engagement with theory.",rag,yes,assessment_brief__report_rubric_theoretical_justification__01,"rigorous||theoretical foundations||justifies suitability||academic literature||critical engagement",4,yes
Q012,"What does HD require in workflow and methodology?",rubric_interpretation,"HD requires a clear and logical workflow, strong explanation of preprocessing and model design, effective integration of multiple AI paradigms, and clear separation of design decisions from implementation.",rag,yes,assessment_brief__report_rubric_workflow_and_methodology__01,"clear workflow||preprocessing||model design||multiple ai paradigms||design decisions",4,yes
Q013,"What does HD require in empirical analysis and results?",rubric_interpretation,"HD requires comprehensive experiments, a well-defined setup, appropriate evaluation metrics, clear tables or figures, insightful interpretation, ethical consideration where relevant, and reproducibility through a well-documented GitHub repository.",rag,yes,assessment_brief__report_rubric_empirical_analysis_and_results__01,"comprehensive experiments||evaluation metrics||tables or figures||ethical||github repository||reproducibility",5,yes
Q014,"What does HD require in critical reflection?",rubric_interpretation,"HD requires deep evaluation of limitations, failure cases, trade-offs, scalability, computational constraints, and when alternative approaches may be more suitable.",rag,yes,assessment_brief__report_rubric_critical_reflection__01,"limitations||failure cases||trade-offs||scalability||computational constraints||alternative approaches",5,yes
Q015,"What does HD require in conclusion, future work, and references?",rubric_interpretation,"HD requires a clear conclusion linked back to objectives and findings, realistic and technically justified future work, and high-quality academic references integrated consistently into the report.",rag,yes,assessment_brief__report_rubric_conclusion_future_work_and_references__01,"conclusion||objectives||future work||academic references||integrated",4,yes
Q016,"For the presentation, what does HD require in content and relevance?",rubric_interpretation,"HD requires a highly relevant real-world problem and AI solution, clear integration of AI techniques, strong alignment between problem and method, significance and impact, ethical considerations, and staying within the time limit.",rag,yes,assessment_brief__presentation_rubric_content_and_relevance__01,"real-world problem||alignment||ai techniques||significance||ethical considerations||time limit",5,yes
Q017,"For the presentation, what does HD require in AI method explanation and justification?",rubric_interpretation,"HD requires a clear and concise AI method explanation, deep understanding, strong justification for method choice, comparison with alternatives, explanation of trade-offs, and strong fit between the method and the problem.",rag,yes,assessment_brief__presentation_rubric_ai_method_explanation_and_justification__01,"deep understanding||justification||alternative approaches||trade-offs||alignment",4,yes
Q018,"For the presentation, what does HD require in findings, contributions, and limitations?",rubric_interpretation,"HD requires insightful findings and contributions supported by clear empirical results, together with critical analysis of limitations and ethical implications.",rag,yes,assessment_brief__presentation_rubric_findings_contributions_and_limitations__01,"findings||contributions||empirical results||limitations||ethical implications",4,yes
Q019,"Based on the brief, what workstreams should the group cover before submission?",planning_and_story,"The group should cover problem definition, theoretical justification with literature, workflow and implementation design, empirical evaluation, critical reflection, GitHub and report integration, presentation preparation, and clear individual contribution records.",rag,yes,assessment_brief__task_overview__01||assessment_brief__the_report_must_include_the_following_sections__01||assessment_brief__part_2_presentation__01,"problem definition||theoretical justification||workflow||empirical evaluation||critical reflection||presentation||individual contributions",5,yes
Q020,"If we want a strong presentation story, what key beats should we cover?",planning_and_story,"A strong presentation story should cover the real-world problem, why it matters, the AI-based approach, how the method fits the problem, the main empirical findings and contributions, the main limitations, and the ethical implications.",rag,yes,assessment_brief__objective__01||assessment_brief__presentation__01||assessment_brief__presentation_rubric_content_and_relevance__01,"real-world problem||significance||ai-based approach||findings||contributions||limitations||ethical",5,yes
Q021,"What would make this project look like more than just a software demo?",planning_and_story,"It needs to go beyond software development by integrating multiple AI paradigms, providing strong theoretical justification, running rigorous empirical evaluation, presenting critical reflection on trade-offs and scalability, and supporting claims with a documented GitHub repository and clear results.",rag,yes,assessment_brief__objective__01||assessment_brief__report_rubric_empirical_analysis_and_results__01||assessment_brief__report_rubric_critical_reflection__01,"go beyond software development||multiple ai paradigms||theoretical justification||empirical evaluation||critical reflection||github",5,yes
Q022,"Can we use GenAI for this assignment?",ethics_policy,"The brief does not give blanket permission. Students must check the subject rules with the subject site, tutor, lecturer, or subject coordinator, use GenAI ethically, and reference or acknowledge it when required.",rag,yes,assessment_brief__academic_integrity__01,"check the rules||subject coordinator||ethically||acknowledge",3,yes
Q023,"How should this prototype be positioned in the demo or report?",system_explanation,"It should be positioned as a hybrid AI system rather than a simple chatbot, because it combines retrieval-augmented generation, semantic retrieval, structured knowledge representation, rule-based reasoning, evidence-grounded answer generation, and evaluation.",rag,yes,project_design__the_system_can_answer_questions_such_as__01||project_design__ai_methods__01,"hybrid ai system||simple chatbot||retrieval-augmented generation||structured knowledge||rule-based reasoning||evidence-grounded",5,yes
Q024,"How should the system be evaluated?",evaluation_design,"It should be evaluated on representative questions across factual constraints, submission rules, rubric interpretation, workflow planning, and unsupported questions, with baseline comparisons and metrics such as answer accuracy, retrieval accuracy at 3, citation support, hallucination rate, unsupported handling accuracy, and response time.",rag,yes,project_design__evaluation__01,"factual constraints||submission rules||rubric interpretation||baseline||hallucination rate||unsupported questions||response time",5,yes
Q025,"Can the documents tell us the exact six-person role split we must use?",unsupported,"No. The documents do not specify an exact six-person role allocation, so the assistant should not invent one.",unsupported,no,,"not enough evidence||official course instructions",1,yes
Q026,"Can the documents provide a day-by-day plan from 8 May 2026 to the report deadline?",unsupported,"No. The documents provide deadlines and requirements, but they do not provide a day-by-day project schedule.",unsupported,no,,"not enough evidence||official course instructions",1,yes
Q027,"Can the assistant guarantee a High Distinction if we follow its advice?",unsupported,"No. The assistant should not guarantee grades or outcomes.",unsupported,no,,"not enough evidence||official course instructions",1,yes
Q028,"Can the assistant replace official course guidance or write the whole assignment for us?",unsupported,"No. The assistant should not replace official guidance and should not be used to write the whole assignment dishonestly.",unsupported,no,,"official course instructions||subject coordinator",1,yes
