question_id,category,method,question,answer,route,keyword_hit_count,required_keyword_target,evidence_supported,hallucinated,used_cache
Q001,factual_constraints,RAG-only,When is the report due?,"Direct Answer:
Report due in Week 13 on 16 May 2026.

Key Points:
- The report is due in Week 13.
- The specific due date is 16 May 2026.

Evidence Used:
- authority=official source=assessment_brief.txt section=Submission Due chunk_id=assessment_brief__submission_due__01 score=0.6446
- authority=official source=assessment_brief.txt section=Overview chunk_id=assessment_brief__overview__01 score=0.3708",rag,1,2,1,1,0
Q002,factual_constraints,Keyword Search,What is the report word limit and font requirement?,Keyword baseline retrieved this evidence: - When is the report due? - What is the report word limit? - What sections must be included in the report? - What does the rubric require for HD? - Does the project need a GitHub repository? - How should a group divide the work? - What are the limitations and ,keyword,0,4,1,1,0
Q004,submission_rules,Keyword Search,"What report file should we submit, and what filename should it use?","Keyword baseline retrieved this evidence: Students must identify and solve a real-world problem using AI techniques, develop a detailed report, and present findings as a group. They must demonstrate collaboration, theoretical justification, workflow analysis, and empirical validation. Only one member ",keyword,0,2,1,1,0
Q006,submission_rules,Keyword Search,What must be included on the first presentation slide?,"Keyword baseline retrieved this evidence: Students must identify and solve a real-world problem using AI techniques, develop a detailed report, and present findings as a group. They must demonstrate collaboration, theoretical justification, workflow analysis, and empirical validation. Only one member ",keyword,0,3,1,1,0
Q008,submission_rules,Keyword Search,What sections should be included in the report?,Keyword baseline retrieved this evidence: - When is the report due? - What is the report word limit? - What sections must be included in the report? - What does the rubric require for HD? - Does the project need a GitHub repository? - How should a group divide the work? - What are the limitations and ,keyword,0,4,1,1,0
Q008,submission_rules,RAG-only,What sections should be included in the report?,"Direct Answer:
- What sections must be included in the report?

Key Points:
- The evidence provided does not specify the sections that must be included in the report.

Evidence Used:
- [1] authority=project source=project_design.txt section=The system can answer questions such as chunk_id=project_design__the_system_can_answer_questions_such_as__01 score=0.4272
- [2] authority=official source=assessment_brief.txt section=Type chunk_id=assessment_brief__type__01 score=0.5108
- [3] authority=official source=assessment_brief.txt section=Submission Due chunk_id=assessment_brief__submission_due__01 score=0.4825
- [4] authority=official source=assessment_brief.txt section=Part 1 Report chunk_id=assessment_brief__part_1_report__01 score=0.4707",rag,0,4,0,1,0
Q009,factual_constraints,Keyword Search,How long is the presentation?,Keyword baseline retrieved this evidence: Assessment 3 is a group project with a report and an oral presentation. It is worth 40% and focuses on applying AI techniques to solve a real-world problem. The report is due on 16 May 2026 at 23:59. The oral presentation is due in Week 12 for Group A on 7 May,keyword,0,2,0,1,0
Q010,factual_constraints,Keyword Search,When is the Group A presentation due?,Keyword baseline retrieved this evidence: Assessment 3 is a group project with a report and an oral presentation. It is worth 40% and focuses on applying AI techniques to solve a real-world problem. The report is due on 16 May 2026 at 23:59. The oral presentation is due in Week 12 for Group A on 7 May,keyword,0,1,1,1,0
Q011,factual_constraints,Keyword Search,When is the Group B presentation due?,Keyword baseline retrieved this evidence: Assessment 3 is a group project with a report and an oral presentation. It is worth 40% and focuses on applying AI techniques to solve a real-world problem. The report is due on 16 May 2026 at 23:59. The oral presentation is due in Week 12 for Group A on 7 May,keyword,0,1,1,1,0
Q013,submission_rules,Keyword Search,Is a GitHub repository required?,"Keyword baseline retrieved this evidence: Introduction. Clearly define the real-world problem the group aims to address. Explain its real-world significance and impact, identify key challenges and constraints, clearly state project objectives and scope, and explain the benefits of an effective solutio",keyword,0,2,1,1,0
Q014,submission_rules,Keyword Search,Do we need to document individual contributions?,"Keyword baseline retrieved this evidence: This is a group assignment. While the project is collaborative, individual contributions will be assessed separately. Each group member must clearly document their contributions at the end of the report. The assessment reflects postgraduate-level expectations ",keyword,1,2,1,1,0
Q015,submission_rules,Keyword Search,What filename should the presentation slides use?,"Keyword baseline retrieved this evidence: Students must identify and solve a real-world problem using AI techniques, develop a detailed report, and present findings as a group. They must demonstrate collaboration, theoretical justification, workflow analysis, and empirical validation. Only one member ",keyword,0,1,1,1,0
Q017,rubric_interpretation,LLM-only,What does HD require in executive summary and introduction?,"In an executive summary and introduction for a high-definition (HD) project or document, the following elements are typically required:

1. **Purpose and Scope**: Clearly state the purpose of the HD project and its scope, including what it aims to achieve and the target audience.

2. **Background**: Provide a brief overview of the context in which the HD project is situated, including any relevant industry trends, technological advancements, or market demands.

3. **Objectives**: Outline the specific objectives of the HD project, detailing what is intended to be accomplished.

4. **Methodology**: Summarize the approach or methodology used to achieve the objectives, including any key processes, technologies, or tools involved.

5. **Key Findings**: Present the most significant findings or outcomes of the HD project, highlighting any critical insights or data.

6. **Benefits**: Explain the benefits or value that the HD project brings, such as improved efficiency, cost savings, or enhanced user experience.

7. **Next Steps**: Briefly describe the next steps or future plans related to the HD project.

8. **Conclusion**: Conclude with a summary of the main points and the overall significance of the HD project.",llm-only,2,4,0,1,0
Q018,rubric_interpretation,Keyword Search,What does HD require in theoretical justification?,"Keyword baseline retrieved this evidence: Students must identify and solve a real-world problem using AI techniques, develop a detailed report, and present findings as a group. They must demonstrate collaboration, theoretical justification, workflow analysis, and empirical validation. Only one member ",keyword,0,4,0,1,0
Q019,rubric_interpretation,Keyword Search,What does HD require in workflow and methodology?,"Keyword baseline retrieved this evidence: Students must identify and solve a real-world problem using AI techniques, develop a detailed report, and present findings as a group. They must demonstrate collaboration, theoretical justification, workflow analysis, and empirical validation. Only one member ",keyword,0,4,1,1,0
Q020,rubric_interpretation,Keyword Search,What does HD require in empirical analysis and results?,"Keyword baseline retrieved this evidence: Introduction. Clearly define the real-world problem the group aims to address. Explain its real-world significance and impact, identify key challenges and constraints, clearly state project objectives and scope, and explain the benefits of an effective solutio",keyword,0,5,1,1,0
Q020,rubric_interpretation,Proposed Hybrid System,What does HD require in empirical analysis and results?,"Direct Answer:
HD requires comprehensive experiments with well-defined setups, datasets, and parameters, insightful empirical analysis demonstrating solution effectiveness, appropriate evaluation metrics, clear presentation of results, and reproducibility via a well-documented GitHub repository.

Key Points:
- Comprehensive experiments and well-defined setup
- Insightful empirical analysis and demonstration of solution effectiveness
- Use of appropriate evaluation metrics
- Clear presentation of results
- Reproducibility through a well-documented GitHub repository

Evidence Used:
- authority=official source=assessment_brief.txt section=Report Rubric: Empirical Analysis and Results chunk_id=assessment_brief__report_rubric_empirical_analysis_and_results__01 score=0.4994
- authority=official source=assessment_brief.txt section=Presentation Rubric: Findings, Contributions, and Limitations chunk_id=assessment_brief__presentation_rubric_findings_contributions_and_limitations__01 score=0.482",rag,4,5,1,1,0
Q020,rubric_interpretation,LLM-only,What does HD require in empirical analysis and results?,"High-quality empirical analysis and results in HD (High Definition) require:

1. **Clear and Precise Definitions**: Clear definitions of variables and concepts to ensure consistency and replicability.
2. **Robust Data Collection**: High-quality, reliable, and valid data collected using appropriate methods.
3. **Statistical Rigor**: Use of appropriate statistical tests and methods to analyze the data, ensuring statistical significance.
4. **Transparency**: Detailed description of the research design, methodology, and data analysis process.
5. **Validity and Reliability**: Evidence that the measures used are valid and reliable.
6. **Contextual Information**: Information about the context in which the data was collected to understand the findings.
7. **Interpretation**: Insightful and logical interpretation of the results, considering the limitations of the study.
8. **Clarity and Organization**: Clear presentation of the analysis and results, with logical organization and structure.
9. **Consistency**: Consistency in the use of terminology and presentation across the analysis.
10. **Ethical Considerations**: Adherence to ethical standards in data collection and analysis.",llm-only,1,5,0,1,0
Q021,rubric_interpretation,Keyword Search,What does HD require in critical reflection?,"Keyword baseline retrieved this evidence: This is a group assignment. While the project is collaborative, individual contributions will be assessed separately. Each group member must clearly document their contributions at the end of the report. The assessment reflects postgraduate-level expectations ",keyword,0,5,0,1,0
Q022,rubric_interpretation,Keyword Search,"What does HD require in conclusion, future work, and references?","Keyword baseline retrieved this evidence: HD: Provides a clear, concise, and insightful conclusion that effectively links results to project objectives and highlights key AI-related findings. Demonstrates strong critical understanding by proposing realistic, technically sound, and well-justified futur",keyword,2,4,1,1,0
Q023,rubric_interpretation,Proposed Hybrid System,"For the presentation, what does HD require in content and relevance?","Direct Answer: For the presentation, HD requires an engaging, confident, well-paced delivery with excellent visuals, clear articulation, strong audience interaction, insightful answers, deep understanding, and effective addressing of ethical implications.

Key Points:
- Engaging and confident presentation delivery
- Excellent use of visuals and clear articulation
- Strong audience interaction and insightful answers
- Demonstrates deep understanding and addresses ethical implications effectively

Evidence Used:
- [1] authority=official source=assessment_brief.txt section=Presentation Rubric: Presentation Delivery and Interaction chunk_id=assessment_brief__presentation_rubric_presentation_delivery_and_interaction__01 score=0.6269",rag,0,5,0,1,0
Q023,rubric_interpretation,RAG-only,"For the presentation, what does HD require in content and relevance?","Direct Answer: For the presentation, HD requires an engaging, confident, well-paced delivery with excellent use of visuals, clear articulation, strong audience interaction, insightful answers, deep understanding, and effective addressing of ethical implications.

Key Points:
- Engaging and confident presentation delivery
- Excellent use of visuals and clear articulation
- Strong audience interaction and insightful answers
- Demonstrates deep understanding and addresses ethical implications effectively

Evidence Used:
- [1] authority=official source=assessment_brief.txt section=Presentation Rubric: Presentation Delivery and Interaction chunk_id=assessment_brief__presentation_rubric_presentation_delivery_and_interaction__01 score=0.6269",rag,0,5,0,1,0
Q023,rubric_interpretation,LLM-only,"For the presentation, what does HD require in content and relevance?","For a presentation to be considered high-quality (HD), it should meet the following content and relevance criteria:

1. **Content**: 
   - **Clarity**: The content should be clear, concise, and easy to understand.
   - **Relevance**: The information should be directly related to the topic and purpose of the presentation.
   - **Completeness**: Cover all necessary aspects of the topic without omitting critical details.
   - **Accuracy**: Ensure that the information is accurate and up-to-date.
   - **Depth**: Provide sufficient depth to engage the audience and demonstrate expertise.
   - **Structure**: Organize the content logically, with a clear introduction, body, and conclusion.

2. **Relevance**:
   - **Audience**: The content should be relevant to the audience's interests, level of understanding, and needs.
   - **Context**: The information should be placed within the appropriate context to make it meaningful.
   - **Purpose**: The content should align with the presentation's intended purpose or objective.
   - **Relevance to the Subject**: The material should be pertinent to the subject matter being discussed.",llm-only,0,5,0,1,0
Q025,rubric_interpretation,Keyword Search,"For the presentation, what does HD require in findings, contributions, and limitations?","Keyword baseline retrieved this evidence: Each group will deliver a presentation to demonstrate the proposed solution and project outcomes. All members of the group are required to be present for the group presentation. The presentation should highlight the real-world problem, the AI-based approach, f",keyword,0,4,1,1,0
Q025,rubric_interpretation,LLM-only,"For the presentation, what does HD require in findings, contributions, and limitations?","For a presentation, HD (High Distinction) in findings, contributions, and limitations would typically require the following:

1. **Findings:**
   - Comprehensive and detailed analysis of the research or study.
   - Clear, concise, and well-supported conclusions.
   - Evidence from multiple sources or methodologies.
   - Insightful interpretation of data and results.
   - Addressing all aspects of the research question or hypothesis.

2. **Contributions:**
   - Clearly articulated and significant original contributions to the field.
   - Novelty in approach, methodology, or findings.
   - Demonstrated impact on the field or potential for future research.
   - Contribution to theory, practice, or policy.
   - Proper citation of the contribution in the context of existing literature.

3. **Limitations:**
   - Open and honest discussion of the study's limitations.
   - Acknowledgment of potential biases or errors.
   - Analysis of the impact of limitations on the findings and conclusions.
   - Suggestions for future research to overcome or address these limitations.
   - Reflective consideration of the broader implications of the limitations.",llm-only,3,4,0,1,0
Q027,planning_and_story,Keyword Search,"Based on the brief, what workstreams should the group cover before submission?",Keyword baseline retrieved this evidence: Report submission: PDF. Only one member from the group needs to submit the report. The first page must clearly list all group members' names and student IDs. The PowerPoint slide file must also be submitted along with the report submission.,keyword,0,5,1,1,0
Q027,planning_and_story,Proposed Hybrid System,"Based on the brief, what workstreams should the group cover before submission?","Direct Answer:
Before submission, the group should cover workstreams related to problem identification and solution using AI techniques, report development, individual contributions documentation, and presentation preparation.

Key Points:
- Identify and solve a real-world problem using AI techniques.
- Develop a detailed report and prepare a PowerPoint presentation.
- Document individual contributions within the report.
Evidence Used:
- Students must identify and solve a real-world problem using AI techniques, develop a detailed report, and present findings as a group. (Evidence [2])
- Each group member must clearly document their contributions at the end of the report. (Evidence [3])
- Report due in Week 13 on 16 May 2026. Presentation due in Week 12 and Week 13 for Group A and Group B respectively. (Evidence [1])",rag,2,5,1,1,0
Q027,planning_and_story,RAG-only,"Based on the brief, what workstreams should the group cover before submission?","Direct Answer:
Before submission, the group should cover workstreams related to problem identification and solution using AI techniques, report development, collaboration documentation, and presentation preparation.

Key Points:
- Identify and solve a real-world problem using AI techniques.
- Develop a detailed report and prepare a PowerPoint presentation.
- Document individual contributions within the group.
- Ensure the report and presentation filenames follow the specified format.
- Prepare for the group presentation session according to the assigned session number.

Evidence Used:
- Students must identify and solve a real-world problem using AI techniques, develop a detailed report, and present findings as a group. (Evidence [2])
- The report must clearly list all group members' names and student IDs on the first page. The report filename should be AT3_Report_Group_xxxx.pdf, where xxxx is the group number. The PowerPoint presentation filename should be AT3_Slide_Group_xxxx.pptx, where xxxx is the group number. (Evidence [2])
- Each group member must clearly document their contributions at the end of the report. (Evidence [3])
- The group presentation session will be held in Session 10 for Group A, which covers Group 1 to Group 11, and Session 11 for Group B, which covers Group 12 to Group 28. (Evidence [4])",rag,2,5,1,1,0
Q027,planning_and_story,LLM-only,"Based on the brief, what workstreams should the group cover before submission?","To provide a specific answer, I would need the details of the brief. However, generally, before submission, a group should cover the following workstreams:

1. **Research and Analysis**: Ensuring comprehensive research on the topic and thorough analysis of findings.
2. **Content Development**: Crafting the main content, including arguments, evidence, and conclusions.
3. **Structure and Organization**: Outlining the document's structure, ensuring logical flow, and proper organization of sections.
4. **Editing and Proofreading**: Reviewing the content for clarity, coherence, grammar, and spelling errors.
5. **Formatting and Style**: Adhering to the required formatting guidelines and style conventions.
6. **Feedback and Revision**: Incorporating feedback from peers or supervisors and making necessary revisions.
7. **References and Citations**: Ensuring all sources are properly cited and referenced according to the required citation style.
8. **Final Review**: A final check for completeness, accuracy, and adherence to submission guidelines.",llm-only,0,5,0,1,0
Q028,planning_and_story,Keyword Search,"If we want a strong presentation story, what key beats should we cover?","Keyword baseline retrieved this evidence: Identify a real-world problem that can be effectively addressed using artificial intelligence techniques. The solution must go beyond software development and demonstrate integration of multiple AI paradigms such as logic, structural knowledge representation, ",keyword,1,5,1,1,0
Q028,planning_and_story,Proposed Hybrid System,"If we want a strong presentation story, what key beats should we cover?","Direct Answer:
To create a strong presentation story, cover the real-world problem, the AI-based approach, findings, and contributions.

Key Points:
- Highlight the real-world problem.
- Explain the AI-based approach.
- Present the findings.
- Discuss the contributions.
Evidence Used:
- The presentation should highlight the real-world problem, the AI-based approach, findings, and contributions. (Evidence [1], [3])
- Students should be prepared to answer questions regarding the problem, solution, and overall project insights. (Evidence [1], [3])",rag,4,5,1,1,0
