question_id,category,question_type,method,question,answer,route,response_time,used_cache,answer_correct,content_correct,keyword_hit_count,required_keyword_count,required_keyword_target,evidence_supported,hallucinated,unsupported_handling_correct
Q001,factual_constraints,factual,Keyword Search,When is the report due?,Keyword baseline retrieved this evidence: Assessment 3 is a group project with a report and an oral presentation. It is worth 40% and focuses on applying AI techniques to solve a real-world problem. The report is due on 16 May 2026 at 23:59. The oral presentation is due in Week 12 for Group A on 7 May,keyword,0.0002,0,1,1,2,2,2,1,0,1
Q001,factual_constraints,factual,Proposed Hybrid System,When is the report due?,The report is due on 16 May 2026 at 23:59.,rule-based,0.0001,0,1,1,2,2,2,1,0,1
Q001,factual_constraints,factual,RAG-only,When is the report due?,"Direct Answer:
Report due in Week 13 on 16 May 2026.

Key Points:
- The report is due in Week 13.
- The specific due date is 16 May 2026.

Evidence Used:
- authority=official source=assessment_brief.txt section=Submission Due chunk_id=assessment_brief__submission_due__01 score=0.6446
- authority=official source=assessment_brief.txt section=Overview chunk_id=assessment_brief__overview__01 score=0.3708",rag,6.3941,0,0,0,1,2,2,1,1,1
Q002,factual_constraints,factual,Keyword Search,What is the report word limit and font requirement?,Keyword baseline retrieved this evidence: - When is the report due? - What is the report word limit? - What sections must be included in the report? - What does the rubric require for HD? - Does the project need a GitHub repository? - How should a group divide the work? - What are the limitations and ,keyword,0.0003,0,0,0,0,5,4,1,1,1
Q002,factual_constraints,factual,Proposed Hybrid System,What is the report word limit and font requirement?,"The report word limit is Up to 3500 words, including references. The report should use 11-point Times or Arial fonts.",rule-based,0.0001,0,1,1,5,5,4,1,0,1
Q002,factual_constraints,factual,RAG-only,What is the report word limit and font requirement?,"Direct Answer:
The report word limit is up to 3500 words, including references, and the font requirement is 11-point Times or Arial.

Key Points:
- The report has a word limit of 3500 words.
- The font must be 11-point Times or Arial.
Evidence Used:
- [1] authority=official source=assessment_brief.txt section=Length chunk_id=assessment_brief__length__01 score=0.6088
- [1] authority=official source=assessment_brief.txt section=Type chunk_id=assessment_brief__type__01 score=0.3801",rag,6.3014,0,1,1,5,5,4,1,0,1
Q003,factual_constraints,factual,Keyword Search,What is the maximum allowed similarity score?,"Keyword baseline retrieved this evidence: Similarity checks on the report will be done by Turnitin. Multiple submissions are allowed. The maximum allowed similarity score is 20%, including quoted material and excluding references. Marks may be lost if the similarity score is higher than 20%.",keyword,0.0002,0,1,1,1,1,1,1,0,1
Q003,factual_constraints,factual,Proposed Hybrid System,What is the maximum allowed similarity score?,The maximum allowed similarity score is 20%.,rule-based,0.0001,0,1,1,1,1,1,1,0,1
Q003,factual_constraints,factual,RAG-only,What is the maximum allowed similarity score?,"Direct Answer: The maximum allowed similarity score is 20%.

Policy Interpretation:
- The maximum allowed similarity score is set to 20%.
- This includes quoted material and excludes references.
Evidence Used:
- [1] authority=official source=assessment_brief.txt section=Similarity Checks chunk_id=assessment_brief__similarity_checks__01 score=0.6674",rag,5.078,0,1,1,1,1,1,1,0,1
Q004,submission_rules,factual,Keyword Search,"What report file should we submit, and what filename should it use?","Keyword baseline retrieved this evidence: Students must identify and solve a real-world problem using AI techniques, develop a detailed report, and present findings as a group. They must demonstrate collaboration, theoretical justification, workflow analysis, and empirical validation. Only one member ",keyword,0.0003,0,0,0,0,2,2,1,1,1
