question_id,category,method,question,answer,route,response_time,used_cache,answer_correct,content_correct,route_correct,keyword_hit_count,required_keyword_count,required_keyword_target,retrieval_hit_at_3,citation_supported,hallucinated,unsupported_handling_correct
Q001,factual_constraints,Keyword Search,When is the report due?,"Keyword baseline retrieved this evidence: Report due in Week 13, 16 May 2026. Presentation due in Week 12 for Group A and Week 13 for Group B.",keyword,0.0,0,0,0,0,1,2,2,0,0,1,1
Q001,factual_constraints,RAG-only,When is the report due?,"Direct Answer: The report is due in Week 13, on 16 May 2026.

Key Points:
- The submission deadline is explicitly stated in the official assessment brief.

Evidence Used:
- assessment_brief.txt: Report due in Week 13, 16 May 2026.",rag,52.2761,0,0,0,0,1,2,2,0,0,1,1
Q001,factual_constraints,Proposed Hybrid System,When is the report due?,The report is due on 16 May 2026 23:59.,rule-based,0.0,0,1,1,1,2,2,2,1,1,0,1
Q002,factual_constraints,Keyword Search,What is the report word limit?,Keyword baseline retrieved this evidence: - When is the report due? - What is the report word limit? - What sections must be included in the report? - What does the rubric require for HD? - Does the project need a GitHub repository? - How should a group divide the work? - What are the limitations and ,keyword,0.0,0,0,0,0,0,2,2,0,0,1,1
Q002,factual_constraints,RAG-only,What is the report word limit?,"Direct Answer: The report word limit is up to 3500 words, which must include all references.

Key Points:
- The limit is a maximum of 3500 words.
- The word count includes the reference list.
- Documents must be formatted using 11-point Times or Arial fonts.

Evidence Used:
- assessment_brief.txt (Length section)",rag,4.2517,0,0,1,0,2,2,2,0,0,0,1
Q002,factual_constraints,Proposed Hybrid System,What is the report word limit?,"The report word limit is Up to 3500 words, including references.",rule-based,0.0,0,1,1,1,2,2,2,1,1,0,1
Q003,factual_constraints,Keyword Search,What is the maximum allowed similarity score?,"Keyword baseline retrieved this evidence: Similarity checks on the report will be done by Turnitin. The maximum allowed similarity score is 20%, including quoted material and excluding references.",keyword,0.0,0,0,1,0,1,1,1,0,0,0,1
Q003,factual_constraints,RAG-only,What is the maximum allowed similarity score?,"Direct Answer: The maximum allowed similarity score is 20%.

Policy Interpretation:
- This limit includes quoted material.
- This limit excludes references.

Evidence Used:
- assessment_brief.txt: Similarity checks section.",rag,16.6396,0,0,1,0,1,1,1,0,0,0,1
Q003,factual_constraints,Proposed Hybrid System,What is the maximum allowed similarity score?,The maximum allowed similarity score is 20%.,rule-based,0.0,0,1,1,1,1,1,1,1,1,0,1
Q004,submission_rules,Keyword Search,"What report file should we submit, and what filename should it use?",Keyword baseline retrieved this evidence: Report submission: PDF. Only one member from the group needs to submit the report. The first page must clearly list all group members' names and student IDs. Please also submit the PowerPoint slide file along with the report submission.,keyword,0.0,0,0,0,0,1,2,2,0,0,1,1
Q004,submission_rules,RAG-only,"What report file should we submit, and what filename should it use?","Direct Answer: You must submit the report as a PDF file. The provided evidence does not specify a required filename.

Key Points:
- The report must be submitted in PDF format.
- Only one group member is required to submit the report.
- A PowerPoint slide file must also be submitted alongside the report.

Evidence Used:
- [1] assessment_brief.txt (Submission format)
- [1] assessment_brief.txt (Presentation session)",rag,7.9805,0,0,0,0,1,2,2,0,0,1,1
Q004,submission_rules,Proposed Hybrid System,"What report file should we submit, and what filename should it use?",The suggested report filename is AT3_Report_Group_xxxx.pdf.,rule-based,0.0,0,1,1,1,2,2,2,1,1,0,1
Q005,submission_rules,Keyword Search,"What slide file should we submit, and what filename should it use?",Keyword baseline retrieved this evidence: Report submission: PDF. Only one member from the group needs to submit the report. The first page must clearly list all group members' names and student IDs. Please also submit the PowerPoint slide file along with the report submission.,keyword,0.0,0,0,0,0,0,2,2,0,0,1,1
Q005,submission_rules,RAG-only,"What slide file should we submit, and what filename should it use?","Direct Answer: You must submit a PowerPoint file named ""AT3_Slide_Group_xxxx.pptx"" (where xxxx is your group number) before your in-class presentation.

Key Points:
- The file must be in PowerPoint format.
- Only one group member is required to submit the file.
- The file should be submitted alongside the group report.

Evidence Used:
- [1] PowerPoint file submission requirement.
- [2] Required filename format (AT3_Slide_Group_xxxx.pptx).
- [3] Submission timing and group requirement.
- [4] Submission alongside the report.",rag,3.8745,0,0,1,0,2,2,2,0,0,0,1
Q005,submission_rules,Proposed Hybrid System,"What slide file should we submit, and what filename should it use?",The suggested slide filename is AT3_Slide_Group_xxxx.pptx.,rule-based,0.0,0,1,1,1,2,2,2,1,1,0,1
Q006,submission_rules,Keyword Search,What must be included on the first presentation slide?,Keyword baseline retrieved this evidence: Report submission: PDF. Only one member from the group needs to submit the report. The first page must clearly list all group members' names and student IDs. Please also submit the PowerPoint slide file along with the report submission.,keyword,0.0,0,0,0,0,2,3,3,0,0,1,1
Q006,submission_rules,RAG-only,What must be included on the first presentation slide?,"Direct Answer: The provided evidence does not specify what must be included on the first presentation slide.

Key Points:
- The provided documents outline submission requirements, file naming conventions, and presentation duration, but do not detail slide content requirements.

Evidence Used:
- [1] oral_presentation.txt: Presentation requirements
- [2] assessment_brief.txt: Presentation duration and submission
- [3] oral_presentation.txt: Submission instructions
- [4] oral_presentation.txt: Filename requirements",rag,6.1705,0,0,0,0,0,3,3,0,0,1,1
Q006,submission_rules,Proposed Hybrid System,What must be included on the first presentation slide?,"The first presentation slide should include: Group Number, All group members' names, Student IDs.",rule-based,0.0,0,1,1,1,3,3,3,1,1,0,1
Q007,submission_rules,Keyword Search,Who needs to submit the group report and presentation?,Keyword baseline retrieved this evidence: Report submission: PDF. Only one member from the group needs to submit the report. The first page must clearly list all group members' names and student IDs. Please also submit the PowerPoint slide file along with the report submission.,keyword,0.0,0,0,1,0,2,2,2,0,0,0,1
Q007,submission_rules,RAG-only,Who needs to submit the group report and presentation?,"Direct Answer: Only one member from each group is required to submit both the group report and the PowerPoint presentation.

Key Points:
- Only one group member needs to submit the PDF report.
- Only one group member needs to submit the PowerPoint presentation file.
- The report must include the names and student IDs of all group members on the first page.

Evidence Used:
- [1] oral_presentation.txt: Only one member from the group needs to submit the presentation file.
- [3] assessment_brief.txt: Only one member from the group needs to submit the report; please also submit the PowerPoint slide file along with the report.",rag,8.1633,0,0,1,0,2,2,2,0,0,0,1
Q007,submission_rules,Proposed Hybrid System,Who needs to submit the group report and presentation?,Only one member from the group needs to submit the report and presentation file.,rule-based,0.0,0,1,1,1,2,2,2,1,1,0,1
Q008,submission_rules,Keyword Search,What sections should be included in the report?,Keyword baseline retrieved this evidence: - When is the report due? - What is the report word limit? - What sections must be included in the report? - What does the rubric require for HD? - Does the project need a GitHub repository? - How should a group divide the work? - What are the limitations and ,keyword,0.0,0,0,0,0,0,5,4,0,0,1,1
Q008,submission_rules,RAG-only,What sections should be included in the report?,"Direct Answer: The report must include eight specific sections as outlined in the official assessment brief.

Key Points:
- Introduction
- Theoretical Justification
- Workflow and Empirical Analysis
- Critical Reflection
- GitHub Repository
- Conclusion
- Individual Contributions
- References

Evidence Used:
- [1] assessment_brief.txt: Lists the required sections for the report.",rag,20.9335,0,0,1,0,5,5,4,0,0,0,1
Q008,submission_rules,Proposed Hybrid System,What sections should be included in the report?,"The report should include: Executive Summary, Introduction, Theoretical Justification, Workflow and Methodology, Empirical Analysis and Results, Critical Reflection, GitHub Repository, Conclusion, Individual Contributions, References.",rule-based,0.0,0,1,1,1,5,5,4,1,1,0,1
Q009,rubric_interpretation,Keyword Search,What does HD require in workflow and methodology?,"Keyword baseline retrieved this evidence: HD requires a clear, logical and well-structured workflow. The report should thoroughly explain data preprocessing, chunking or feature preparation, model design, algorithmic choices and how multiple AI paradigms are integrated. Design decisions should be sepa",keyword,0.0,0,0,1,0,3,4,3,1,0,0,1
Q009,rubric_interpretation,RAG-only,What does HD require in workflow and methodology?,"Direct Answer: To achieve an HD, the workflow must be clear, logical, and well-structured, with a thorough explanation of all technical processes and a distinct separation between design decisions and implementation details.

Key Points:
- Provide a thorough explanation of data preprocessing, chunking/feature preparation, model design, and algorithmic choices.
- Detail how multiple AI paradigms are integrated into the project.
- Clearly separate design decisions from implementation details.

Evidence Used:
- report_rubric.txt: Workflow and Methodology (chunk_id=report_rubric__workflow_and_methodology__01)",rag,12.1073,0,1,1,1,3,4,3,1,1,0,1
